Order_ID,Transaction_Date,Product_Category,Unit_Price,Quantity,Discount_Amount,Shipping_City,Payment_Method,Shipping_Cost,Order_Status,Net_Sales,Nama_Bulan,Nama_Hari,Jam_Transaksi
ORD-2023-00001,2023-01-01 01:15:51,Tank Top,99000,3,80000.0,Kediri,E-Wallet,21500,Completed,217000.0,January,Sunday,1
ORD-2023-00002,2023-01-01 02:29:41,Celana Chino,223000,1,53000.0,Batam,Kartu Kredit,23500,Completed,170000.0,January,Sunday,2
ORD-2023-00003,2023-01-01 03:54:18,Kaos Grafis,195000,1,21000.0,Tangerang Selatan,COD,14000,Completed,174000.0,January,Sunday,3
ORD-2023-00004,2023-01-01 05:05:28,Celana Chino,345000,4,191000.0,Surabaya,COD,13500,Completed,1189000.0,January,Sunday,5
ORD-2023-00005,2023-01-01 05:19:16,Rok Mini,184000,1,46000.0,Jakarta Timur,Transfer Bank,13000,Completed,138000.0,January,Sunday,5
ORD-2023-00006,2023-01-01 06:22:54,Celana Chino,210000,2,64000.0,Jayapura,COD,57500,Completed,356000.0,January,Sunday,6
ORD-2023-00007,2023-01-01 06:30:39,Kaos Polos,137000,1,14000.0,Jakarta Timur,Transfer Bank,11000,Completed,123000.0,January,Sunday,6
ORD-2023-00008,2023-01-01 07:41:23,Kaos Polos,142000,4,85000.0,Jakarta Timur,Transfer Bank,10500,Cancelled,483000.0,January,Sunday,7
ORD-2023-00009,2023-01-01 08:18:02,Jaket Denim,326000,1,59000.0,Jakarta Utara,Transfer Bank,11000,Completed,267000.0,January,Sunday,8
ORD-2023-00010,2023-01-01 08:29:04,Kemeja Casual,295000,1,38000.0,Jakarta Timur,E-Wallet,14500,Cancelled,257000.0,January,Sunday,8
ORD-2023-00011,2023-01-01 08:52:15,Kaos Grafis,83000,2,50000.0,Yogyakarta,E-Wallet,22000,Completed,116000.0,January,Sunday,8
ORD-2023-00012,2023-01-01 09:10:59,Kemeja Casual,273000,3,116000.0,Surabaya,COD,13500,Returned,703000.0,January,Sunday,9
ORD-2023-00013,2023-01-01 09:54:13,Celana Jeans,253000,2,102000.0,Yogyakarta,Transfer Bank,20500,Cancelled,404000.0,January,Sunday,9
ORD-2023-00014,2023-01-01 10:03:52,Cardigan,199000,4,119000.0,Pontianak,Transfer Bank,37000,Completed,677000.0,January,Sunday,10
ORD-2023-00015,2023-01-01 10:12:18,Celana Chino,216000,4,150000.0,Medan,Transfer Bank,22000,Completed,714000.0,January,Sunday,10
ORD-2023-00016,2023-01-01 11:04:47,Celana Chino,347000,5,453000.0,Jakarta Timur,COD,14000,Completed,1282000.0,January,Sunday,11
ORD-2023-00017,2023-01-01 11:05:06,Sweater,301000,1,66000.0,Batam,Transfer Bank,20500,Completed,235000.0,January,Sunday,11
ORD-2023-00018,2023-01-01 11:14:14,Jaket Hoodie,164000,2,97000.0,Jakarta Pusat,E-Wallet,11000,Completed,231000.0,January,Sunday,11
ORD-2023-00019,2023-01-01 11:45:32,Kemeja Casual,168000,2,50000.0,Semarang,COD,10500,Completed,286000.0,January,Sunday,11
ORD-2023-00020,2023-01-01 11:56:56,Celana Jeans,368000,1,48000.0,Jakarta Barat,E-Wallet,11000,Completed,320000.0,January,Sunday,11
ORD-2023-00021,2023-01-01 12:52:23,Blouse,180000,4,176000.0,Bogor,E-Wallet,11000,Completed,544000.0,January,Sunday,12
ORD-2023-00022,2023-01-01 13:32:00,Dress Casual,338000,1,35000.0,Tangerang Selatan,E-Wallet,14500,Completed,303000.0,January,Sunday,13
ORD-2023-00023,2023-01-01 13:33:14,Jaket Hoodie,149000,2,37000.0,Medan,E-Wallet,24000,Cancelled,261000.0,January,Sunday,13
ORD-2023-00024,2023-01-01 13:33:34,Celana Jeans,201000,2,47000.0,Tangerang,E-Wallet,14000,Completed,355000.0,January,Sunday,13
ORD-2023-00025,2023-01-01 13:37:08,Kaos Polos,135000,1,39000.0,Surabaya,E-Wallet,12500,Completed,96000.0,January,Sunday,13
ORD-2023-00026,2023-01-01 13:52:56,Kaos Grafis,188000,2,112000.0,Bekasi,COD,13000,Returned,264000.0,January,Sunday,13
ORD-2023-00027,2023-01-01 15:55:11,Blouse,176000,1,38000.0,Yogyakarta,E-Wallet,16000,Completed,138000.0,January,Sunday,15
ORD-2023-00028,2023-01-01 16:58:07,Celana Pendek,139000,1,21000.0,Purwokerto,E-Wallet,21500,Completed,118000.0,January,Sunday,16
ORD-2023-00029,2023-01-01 18:30:56,Jaket Denim,382000,2,224000.0,Jakarta Utara,E-Wallet,10500,Completed,540000.0,January,Sunday,18
ORD-2023-00030,2023-01-01 18:50:24,Celana Jeans,362000,2,208000.0,Jakarta Pusat,Transfer Bank,12000,Completed,516000.0,January,Sunday,18
ORD-2023-00031,2023-01-01 19:07:46,Kaos Polos,133000,2,47000.0,Surabaya,Transfer Bank,13500,Completed,219000.0,January,Sunday,19
ORD-2023-00032,2023-01-01 19:30:10,Celana Jeans,317000,1,42000.0,Palembang,Kartu Kredit,21500,Completed,275000.0,January,Sunday,19
ORD-2023-00033,2023-01-01 19:37:20,Kaos Polos,124000,3,90000.0,Yogyakarta,Transfer Bank,21500,Completed,282000.0,January,Sunday,19
ORD-2023-00034,2023-01-01 19:54:11,Jaket Windbreaker,212000,1,32000.0,Semarang,E-Wallet,10000,Completed,180000.0,January,Sunday,19
ORD-2023-00035,2023-01-01 19:57:52,Celana Pendek,103000,1,26000.0,Tangerang Selatan,E-Wallet,14000,Completed,77000.0,January,Sunday,19
ORD-2023-00036,2023-01-01 20:05:43,Dress Casual,340000,2,172000.0,Manado,Transfer Bank,27500,Cancelled,508000.0,January,Sunday,20
ORD-2023-00037,2023-01-01 20:27:51,Dress Casual,239000,5,210000.0,Malang,E-Wallet,16000,Completed,985000.0,January,Sunday,20
ORD-2023-00038,2023-01-01 20:45:45,Outer,254000,1,59000.0,Bogor,COD,11000,Completed,195000.0,January,Sunday,20
ORD-2023-00039,2023-01-01 20:53:49,Celana Jeans,163000,2,39000.0,Jakarta Barat,E-Wallet,9500,Completed,287000.0,January,Sunday,20
ORD-2023-00040,2023-01-01 21:09:39,Outer,286000,1,37000.0,Jakarta Timur,E-Wallet,10500,Completed,249000.0,January,Sunday,21
ORD-2023-00041,2023-01-01 21:24:09,Celana Chino,273000,2,76000.0,Jakarta Pusat,COD,14000,Cancelled,470000.0,January,Sunday,21
ORD-2023-00042,2023-01-01 21:26:15,Sweater,317000,1,50000.0,Denpasar,E-Wallet,24500,Completed,267000.0,January,Sunday,21
ORD-2023-00043,2023-01-01 21:28:52,Jaket Denim,249000,2,118000.0,Purwokerto,E-Wallet,22000,Completed,380000.0,January,Sunday,21
ORD-2023-00044,2023-01-01 21:38:25,Kemeja Casual,164000,2,88000.0,Medan,E-Wallet,20500,Completed,240000.0,January,Sunday,21
ORD-2023-00045,2023-01-01 22:27:04,Jaket Hoodie,214000,3,96000.0,Yogyakarta,COD,24500,Completed,546000.0,January,Sunday,22
ORD-2023-00046,2023-01-01 22:35:37,Tank Top,111000,3,39000.0,Bandar Lampung,E-Wallet,21500,Completed,294000.0,January,Sunday,22
ORD-2023-00047,2023-01-01 23:04:02,Kaos Grafis,96000,3,47000.0,Jakarta Barat,Transfer Bank,13000,Completed,241000.0,January,Sunday,23
